GPSXSelect GPSYSelect GPSZSelect
-347.67 644.99 67.297
-347.41 648.39 67.468
-347.06 651.78 67.669
-346.59 655.15 67.89
-346.59 655.15 67.89
-345.99 658.47 68.132
-345.25 661.75 68.389
-345.25 661.75 68.389
-344.36 664.97 68.683
-343.36 668.15 68.98
-342.25 671.27 69.286
-342.25 671.27 69.286
-341.07 674.37 69.579
-339.81 677.42 69.825
-338.49 680.44 70.052
-338.49 680.44 70.052
-337.1 683.43 70.243
-335.64 686.38 70.394
-335.64 686.38 70.394
-334.1 689.28 70.532
-332.49 692.15 70.631
-332.49 692.15 70.631
-330.81 694.97 70.761
-329.07 697.74 70.796
-327.26 700.48 70.851
-327.26 700.48 70.851
-325.4 703.18 70.872
-323.48 705.84 70.902
-323.48 705.84 70.902
-321.51 708.46 70.882
-319.49 711.05 70.86
-317.43 713.61 70.803
-317.43 713.61 70.803
-315.33 716.14 70.719
-313.17 718.61 70.622
-313.17 718.61 70.622
-310.96 721.06 70.546
-308.72 723.47 70.426
-308.72 723.47 70.426
-306.42 725.81 70.319
-304.07 728.12 70.193
-301.67 730.35 70.034
-299.19 732.51 69.907
-296.65 734.57 69.784
-294.02 736.54 69.707
-294.02 736.54 69.707
-291.34 738.42 69.608
-288.59 740.2 69.585
-288.59 740.2 69.585
-285.78 741.87 69.552
-282.93 743.46 69.535
-280.03 744.96 69.555
-277.09 746.37 69.554
-274.12 747.68 69.59
-274.12 747.68 69.59
-271.12 748.92 69.624
-268.09 750.07 69.632
-268.09 750.07 69.632
-265.02 751.14 69.674
-261.93 752.12 69.743
-258.83 753.05 69.783
-255.71 753.9 69.832
-255.71 753.9 69.832
-252.57 754.72 69.863
-252.57 754.72 69.863
-249.42 755.48 69.886
-246.26 756.2 69.883
-246.26 756.2 69.883
-243.09 756.89 69.871
-239.92 757.55 69.826
-236.74 758.17 69.79
-236.74 758.17 69.79
-233.53 758.8 69.687
-230.34 759.38 69.58
-227.13 759.95 69.446
-227.13 759.95 69.446
-223.91 760.52 69.27
-220.68 761.06 69.08
-220.68 761.06 69.08
-217.45 761.59 68.88
-214.2 762.1 68.641
-210.94 762.6 68.39
-210.94 762.6 68.39
-207.69 763.08 68.118
-204.41 763.55 67.826
-201.12 763.99 67.521
-197.83 764.43 67.192
-194.52 764.84 66.834
-191.2 765.25 66.448
-191.2 765.25 66.448
-187.87 765.63 66.056
-187.87 765.63 66.056
-184.53 766 65.66
-181.18 766.36 65.237
-177.81 766.71 64.799
-177.81 766.71 64.799
-174.44 767.05 64.348
-171.05 767.39 63.892
-167.65 767.71 63.425
-167.65 767.71 63.425
-164.23 768.03 62.951
-164.23 768.03 62.951
-160.81 768.35 62.468
-157.36 768.66 62.001
-157.36 768.66 62.001
-153.91 768.96 61.553
-150.43 769.25 61.137
-146.95 769.52 60.724
-146.95 769.52 60.724
-143.45 769.79 60.349
-139.94 770.05 60.015
-139.94 770.05 60.015
-136.42 770.3 59.721
-132.89 770.54 59.491
-129.35 770.79 59.303
-129.35 770.79 59.303
-125.81 771.03 59.152
-122.26 771.28 59.028
-122.26 771.28 59.028
-118.71 771.52 58.949
-115.17 771.75 58.92
-111.62 771.97 58.9
-111.62 771.97 58.9
-108.09 772.18 58.922
-104.58 772.35 58.944
-104.58 772.35 58.944
-101.09 772.51 58.923
-97.624 772.66 58.857
-94.183 772.78 58.735
-94.183 772.78 58.735
-90.77 772.87 58.582
-87.375 772.91 58.425
-83.997 772.84 58.29
-83.997 772.84 58.29
-80.647 772.67 58.161
-77.338 772.39 58.04
-77.338 772.39 58.04
-74.063 771.97 57.96
-70.828 771.41 57.908
-67.638 770.74 57.891
-67.638 770.74 57.891
-64.497 769.95 57.883
-61.406 769.08 57.871
-61.406 769.08 57.871
-58.358 768.1 57.871
-55.363 767.03 57.876
-55.363 767.03 57.876
-52.418 765.88 57.878
-49.525 764.64 57.877
-46.683 763.33 57.876
-46.683 763.33 57.876
-43.899 761.93 57.866
-41.169 760.46 57.846
-41.169 760.46 57.846
-38.496 758.9 57.821
-38.496 758.9 57.821
-33.314 755.59 57.754
-33.314 755.59 57.754
-30.801 753.84 57.725
-30.801 753.84 57.725
-28.337 752.03 57.677
